neighborhood,house_age,num_bedrooms,num_bathrooms,sqft_living,sqft_lot,num_floors,garage_type,has_pool,house_condition,heating_type,school_rating,crime_rate,renovation_year,price
Suburbs,39,3,3,1102.0,5214.0,1,Single,1,Excellent,Radiator,5.5,9.24,2013.0,353841
Midtown,67,3,2,1276.0,8177.0,2,Double,0,Fair,Central,7.3,0.29,2003.0,299796
Historic,5,4,3,1802.0,,2,Single,0,Good,Central,9.7,3.42,0.0,398965
Rural,65,3,3,1377.0,8733.0,1,Single,0,Good,Electric,4.8,0.17,2005.0,276110
Suburbs,15,1,1,538.0,7069.0,2,Double,0,Good,Central,7.8,6.77,0.0,198697
Suburbs,67,3,3,1075.0,5088.0,1,Single,0,Good,Central,6.9,0.28,0.0,246871
Downtown,40,3,3,1569.0,5740.0,1,,0,Good,Central,5.7,0.3,1992.0,396401
Uptown,69,6,4,2762.0,5471.0,2,Single,0,Good,Central,3.0,2.25,1991.0,496812
Waterfront,77,5,3,2304.0,5873.0,2,Single,0,Excellent,Electric,9.3,2.24,1998.0,621270
Historic,43,2,1,828.0,,1,Double,0,Good,Central,8.9,1.55,2016.0,264651
Downtown,1,4,3,1914.0,2437.0,1,,1,Good,Electric,9.6,14.55,0.0,481732
Midtown,22,5,3,2396.0,8256.0,2,Single,0,Good,Radiator,7.5,1.97,2021.0,469436
Uptown,62,1,1,387.0,5980.0,1,Single,1,Good,Central,6.7,0.64,2003.0,211599
Suburbs,79,4,3,1941.0,7662.0,1,Double,0,Excellent,Central,4.1,16.03,2000.0,351564
Suburbs,26,3,2,1210.0,3014.0,1,Single,1,Excellent,Central,6.2,4.89,2001.0,361659
Suburbs,18,4,2,1951.0,5947.0,1,Double,0,Fair,Central,5.9,0.0,0.0,337639
Suburbs,48,4,3,1889.0,5065.0,1,,0,Good,,4.8,2.06,1990.0,398879
Rural,9,6,5,2959.0,10147.0,2,Single,0,Good,Electric,8.8,11.54,2017.0,559804
Suburbs,1,3,3,1061.0,5508.0,1,Double,0,Excellent,Central,7.7,4.18,0.0,348184
Suburbs,9,4,2,1500.0,6394.0,2,Double,0,Good,Central,,1.91,2022.0,363599
Waterfront,23,2,2,1036.0,6672.0,1,Single,0,Fair,Radiator,7.9,0.9,0.0,294705
Downtown,45,3,3,1278.0,4856.0,1,Double,0,Poor,Central,3.7,6.22,2017.0,251248
Suburbs,2,6,5,3104.0,10702.0,1,Double,0,Good,Central,8.3,4.06,2023.0,567174
Suburbs,14,4,3,1450.0,2497.0,1,Double,0,Excellent,Central,8.9,7.73,2017.0,365120
Rural,38,3,2,1511.0,8131.0,1,Single,0,Excellent,Central,6.3,4.54,0.0,324507
Historic,40,4,3,1467.0,7489.0,1,Single,0,Good,Central,8.8,8.13,1998.0,347632
Suburbs,63,1,1,443.0,3261.0,2,Double,0,Good,Central,5.8,1.52,,142411
Rural,16,3,2,1612.0,4229.0,1,Double,0,Good,Electric,8.2,1.02,,305573
Rural,75,4,3,1462.0,9314.0,1,Single,0,Excellent,Central,7.8,4.72,0.0,311009
Downtown,6,3,2,1260.0,4035.0,1,Single,0,Fair,Central,9.2,6.51,2022.0,329174
Waterfront,3,3,3,1361.0,9097.0,2,Single,0,Fair,Central,6.7,17.78,2022.0,336025
Suburbs,14,4,3,2119.0,8999.0,2,Double,0,Excellent,Central,,4.84,0.0,496593
Downtown,66,3,2,1249.0,1945.0,2,Single,0,Good,Central,5.0,6.56,,298495
Midtown,75,1,1,511.0,2548.0,1,Single,0,Good,Radiator,6.3,2.32,0.0,148371
Midtown,67,3,3,1480.0,3110.0,2,Single,0,Good,Central,6.3,6.03,2010.0,318433
Uptown,31,5,3,2057.0,9870.0,1,Double,0,Good,Radiator,7.6,7.42,2005.0,452522
Suburbs,33,5,3,2090.0,5821.0,2,Single,0,Good,Electric,3.2,2.39,0.0,385631
Downtown,1,3,2,1164.0,7022.0,2,Single,1,Fair,Electric,6.4,10.29,0.0,332879
Waterfront,44,1,1,488.0,1356.0,2,Double,1,Fair,Central,7.1,4.77,2010.0,258859
Suburbs,15,4,4,1850.0,9643.0,1,Single,0,Good,Central,7.5,0.16,2020.0,401651
Downtown,37,4,3,1523.0,5251.0,1,,0,Good,Central,8.1,1.42,0.0,399880
Rural,27,3,3,1422.0,2738.0,1,Single,0,Excellent,Central,7.8,6.39,2022.0,335597
Downtown,48,3,2,1349.0,3340.0,2,Single,0,Fair,Central,8.2,3.58,2013.0,276073
Midtown,27,6,3,2211.0,6249.0,1,Single,0,Good,Central,9.0,2.91,0.0,499073
Suburbs,12,3,3,1622.0,9149.0,3,,1,Excellent,Central,3.6,17.43,2020.0,404680
Waterfront,67,3,2,1550.0,2769.0,3,Single,0,Good,Electric,6.1,2.56,,384416
Suburbs,30,4,2,1456.0,4718.0,2,Single,1,Fair,,4.4,0.64,0.0,282821
Rural,66,2,2,1072.0,4959.0,1,,0,Excellent,Electric,3.0,2.27,1992.0,218601
Rural,7,2,1,1066.0,6300.0,1,Single,0,Fair,Central,5.5,16.71,2020.0,217935
Suburbs,34,5,3,1792.0,3087.0,1,Single,0,Fair,Electric,10.0,11.3,2018.0,350976
Midtown,32,2,1,780.0,3669.0,1,,0,Excellent,Electric,4.9,9.22,0.0,244555
Historic,39,3,2,1471.0,4173.0,3,Double,1,Poor,,6.3,7.57,0.0,267366
Midtown,43,3,2,1610.0,9230.0,2,,0,Poor,Central,9.3,3.79,1999.0,274745
Uptown,43,5,3,2573.0,6280.0,1,Single,0,Excellent,Central,4.3,2.16,0.0,601764
Rural,78,4,3,1625.0,4628.0,1,Single,0,Good,Central,4.0,7.67,0.0,290533
Midtown,3,1,1,356.0,6638.0,1,Double,0,Good,Electric,5.3,1.23,2022.0,209272
Downtown,46,4,3,1778.0,8453.0,1,,0,Poor,Radiator,7.5,2.93,0.0,299594
Suburbs,32,3,2,1105.0,6704.0,1,Double,0,Fair,Central,7.2,9.27,1994.0,260211
Downtown,43,3,2,1197.0,6831.0,2,Double,0,Poor,,5.0,2.23,2020.0,241851
Suburbs,3,4,2,1912.0,4294.0,2,Double,0,Good,Radiator,9.3,6.36,0.0,429236
Suburbs,74,2,1,898.0,3573.0,1,,0,Fair,Central,3.7,2.97,1997.0,173558
Suburbs,63,6,5,2552.0,4454.0,1,Single,0,Excellent,Central,9.1,0.76,0.0,548211
Uptown,40,4,3,2143.0,4630.0,2,Single,0,Poor,Electric,4.2,3.13,0.0,302279
Suburbs,18,3,2,1165.0,8232.0,1,Single,0,Excellent,Central,6.7,0.0,2009.0,348668
Suburbs,67,4,2,1789.0,2384.0,1,,0,Good,Radiator,7.3,7.26,2021.0,325892
